nome,idade,cpf,data,endereco,estado
Vicente Nascimento,63,054.921.378-32,1961-02-22,"LARGO VIEIRA
MILIONARIO
78970057 DIAS / DF",ceará
Isaac Rocha,57,873.402.691-69,1966-11-30,"ÁREA LUCAS GABRIEL SILVEIRA, 51
ANCHIETA
55284-530 ROCHA / PE",rio de janeiro
Julia Das Neves,60,819.402.563-05,1963-08-28,"JARDIM ISABELLY GOMES, 23
NOSSA SENHORA DE FÁTIMA
81186-838 DA LUZ DA SERRA / ES",paraná
Breno Rodrigues,95,196.540.732-34,1928-10-24,"DISTRITO DE SILVEIRA
DONA CLARA
14225405 ARAÚJO / AM",maranhão
Isabel Nogueira,63,968.502.347-65,1960-10-21,"TRAVESSA ANA JÚLIA DA ROCHA
MIRAMAR
01287083 FOGAÇA DO OESTE / TO",piauí
Anthony Araújo,38,208.157.463-26,1985-09-07,"AVENIDA MILENA PIRES, 360
VILA RICA
71412995 PEREIRA / AP",tocantins
Sra. Marina Da Cunha,55,067.152.389-95,1968-09-09,"RODOVIA MARCELO SOUZA, 25
ESTRELA
24438186 VIEIRA / RN",amazonas
Helena Cardoso,51,853.471.906-39,1972-05-29,"PÁTIO ALEXANDRE TEIXEIRA, 243
INDAIÁ
21474228 CAVALCANTI PAULISTA / RR",paraná
Luigi Nunes,50,593.204.186-24,1973-06-17,"VIA CLARA DA ROSA, 928
CASTELO
87117-636 CALDEIRA DE CAMPOS / RR",roraima
Srta. Raquel Da Costa,58,278.534.619-09,1965-05-07,"ESTAÇÃO RIBEIRO, 46
VENDA NOVA
45512787 SILVA / PB",amazonas
Sra. Ana Vitória Oliveira,60,120.347.586-17,1963-11-01,"SÍTIO DE CAVALCANTI, 97
JULIANA
21342254 MONTEIRO DE CAMPOS / PA",santa catarina
Luiza Campos,52,974.281.306-03,1972-01-13,"CONDOMÍNIO DE RODRIGUES, 52
CONJUNTO PROVIDENCIA
93625-248 DA LUZ / SC",tocantins
Lucca Da Paz,71,526.980.731-95,1952-04-14,"RODOVIA VIEIRA, 63
CONJUNTO TAQUARIL
85325522 PIRES / RN",tocantins
Nathan Da Rosa,31,907.231.564-25,1992-11-05,"RECANTO DE DA CONCEIÇÃO, 1
PARAÍSO
52583-232 SALES / AM",ceará
Lívia Silveira,61,804.125.796-85,1962-11-22,"SETOR DE AZEVEDO, 375
CASTANHEIRA
56381800 TEIXEIRA DAS PEDRAS / AL",mato grosso do sul
Isabel Cavalcanti,54,492.768.130-04,1969-05-10,"LADEIRA PIETRA CUNHA, 13
VISTA ALEGRE
86652477 MONTEIRO / PA",pará
Rafael Nunes,38,285.917.604-76,1985-08-28,"VEREDA DAVI LUCCA BARBOSA, 35
ESTRELA DO ORIENTE
38759-767 RODRIGUES DE GOIÁS / GO",goiás
Elisa Fogaça,95,572.840.693-92,1928-12-13,"RODOVIA ANA JÚLIA ARAÚJO, 68
VILA REAL 2ª SEÇÃO
22775-108 DA MATA DOS DOURADOS / PE",maranhão
Agatha Ramos,23,948.061.752-85,2000-12-03,"DISTRITO DE BARROS, 41
SUZANA
54500-129 DA ROCHA / RJ",roraima
Kamilly Rocha,59,946.031.875-48,1964-09-19,"FEIRA CAMPOS, 17
CRUZEIRO
01967-483 RIBEIRO DE PIRES / DF",ceará
Antônio Das Neves,40,435.698.712-82,1983-07-31,"AVENIDA VITOR HUGO CARDOSO, 34
VILA SÃO RAFAEL
96831280 DA CUNHA / SC",rio grande do sul
Luiz Gustavo Alves,45,198.506.473-10,1978-07-08,"RODOVIA DE SOUZA, 63
VILA NOVA DOS MILIONARIOS
81275-813 ROCHA / MS",rio grande do sul
Emanuella Fernandes,87,097.184.263-96,1936-07-21,"RESIDENCIAL IAN DA PAZ, 6
PADRE EUSTÁQUIO
41928916 FERNANDES DE CORREIA / PR",rondônia
Srta. Ana Beatriz Farias,62,431.975.068-39,1961-08-07,"LADEIRA DE DA PAZ, 98
JARDIM DOS COMERCIARIOS
48285699 RIBEIRO / PE",acre
Yago Monteiro,44,865.279.143-00,1979-06-22,"LADEIRA PEREIRA, 21
BURACO QUENTE
50425764 FOGAÇA VERDE / BA",maranhão
Yasmin Gonçalves,76,017.459.382-14,1947-09-26,"ÁREA BARROS, 46
SALGADO FILHO
98637-706 ALVES DE GOIÁS / BA",paraná
Bruna Nascimento,34,132.695.407-52,1989-04-13,"VEREDA LUIZ FELIPE COSTA, 70
MINASLANDIA
23088133 MORAES / DF",roraima
Davi Luiz Nogueira,97,873.045.912-50,1926-12-20,"VILA SALES, 97
PAQUETÁ
59231544 DA LUZ GRANDE / ES",pernambuco
Ian Monteiro,24,324.157.968-91,1999-12-11,"FAVELA ALANA RIBEIRO, 318
CASA BRANCA
79179-607 BARROS DA PRAIA / MS",ceará
Srta. Helena Silva,35,905.164.728-01,1988-11-14,"PARQUE FREITAS, 82
OURO MINAS
59029142 LIMA DA PRATA / AC",tocantins
Bárbara Novaes,88,038.496.512-15,1935-05-24,"TRECHO BRYAN DA CUNHA, 1
BETÂNIA
61163162 CORREIA VERDE / PA",amazonas
Sr. Pedro Lucas Costela,30,534.870.296-00,1993-08-24,"ESPLANADA MOREIRA
PINDURA SAIA
93675777 DA CUNHA DA MATA / ES",minas gerais
Rafael Jesus,22,673.105.482-80,2001-08-16,"CAMPO DE BARROS, 16
SILVEIRA
43534-126 DUARTE DO GALHO / DF",ceará
Sra. Alícia Caldeira,89,051.382.694-70,1934-12-04,"DISTRITO ESTHER CAMPOS, 264
APOLONIA
13908-226 SOUZA / PA",tocantins
Danilo Martins,99,760.389.541-39,1925-03-30,"LARGO PIRES, 78
BACURAU
13125523 SALES VERDE / AP",piauí
Sr. Gabriel Da Rosa,49,530.641.782-53,1974-09-10,"CAMPO ISABELLY FREITAS
NOVO SANTA CECILIA
94562211 DA MATA / CE",acre
Augusto Teixeira,69,412.563.970-16,1954-11-15,"FAVELA MARIA NOVAES
SAVASSI
60241424 DA COSTA DAS FLORES / RR",rio grande do sul
Ana Julia Da Rosa,42,630.549.782-65,1981-10-10,"TREVO MORAES, 5
CÔNEGO PINHEIRO 1ª SEÇÃO
38769-503 RAMOS DE ROCHA / SP",rio grande do sul
Lucca Barbosa,97,836.109.275-77,1926-06-12,"RUA MENDES, 337
PENHA
06179-472 SALES DO SUL / SP",minas gerais
Amanda Da Costa,23,268.935.074-29,2000-11-20,"LAGOA CARDOSO, 1
AMBROSINA
61793-758 DA ROCHA / SP",mato grosso
Dr. Francisco Cardoso,96,430.297.815-50,1927-10-30,"LAGO MAITÊ CAMPOS, 31
BRAÚNAS
72279-259 COSTA DO SUL / TO",paraná
Lorena Farias,92,268.517.934-82,1931-04-17,"RESIDENCIAL BARBOSA, 44
ZILAH SPOSITO
26601655 ARAGÃO DE GOIÁS / AP",rio grande do sul
Anthony Da Costa,36,935.287.104-97,1988-02-13,"RECANTO DE ROCHA, 68
CONJUNTO CALIFÓRNIA I
12467-132 JESUS DO NORTE / SE",santa catarina
Cauã Rodrigues,98,107.286.439-87,1926-02-11,"VALE GUSTAVO HENRIQUE ALVES, 50
VILA MADRE GERTRUDES 4ª SEÇÃO
75200-837 CORREIA GRANDE / AL",mato grosso do sul
Anthony Barbosa,86,631.750.489-00,1937-08-19,"VILA FARIAS
VILA SATÉLITE
80983484 GONÇALVES DE FOGAÇA / RN",alagoas
Ana Julia Almeida,22,179.386.425-09,2001-07-20,"FAZENDA DE PORTO, 3
SENHOR DOS PASSOS
60244655 MENDES / MA",mato grosso
Milena Barros,73,314.602.985-51,1950-08-04,"SETOR MIGUEL PIRES, 3
ERMELINDA
63141374 PIRES / PA",rio grande do norte
Murilo Gomes,99,759.083.641-93,1924-05-22,"MORRO DE CASTRO
VILA PILAR
68132710 VIEIRA DO SUL / SP",ceará
Daniel Barbosa,28,812.035.469-98,1995-10-05,"PRAÇA FERREIRA, 764
VILA SUMARÉ
04459429 TEIXEIRA DA SERRA / CE",distrito federal
Dr. Samuel Cardoso,47,039.124.687-96,1977-03-20,"VEREDA CAUÊ NOVAES, 14
CONJUNTO CALIFÓRNIA II
17511624 CALDEIRA / BA",distrito federal
Ana Laura Sales,78,863.247.190-22,1945-11-24,"FAZENDA DE PINTO, 42
SÃO JORGE 1ª SEÇÃO
94419954 CORREIA DE MENDES / PR",rondônia
Mariana Cunha,81,492.537.016-25,1942-07-24,"LOTEAMENTO LUIZ FELIPE TEIXEIRA, 87
NOVO OURO PRETO
09824175 ARAÚJO / AM",roraima
Sr. João Guilherme Cavalcanti,38,347.156.029-70,1985-09-30,"QUADRA EMANUELLA DA CONCEIÇÃO, 29
CRUZEIRO
48756-294 FOGAÇA DE CORREIA / MS",rio grande do norte
Kamilly Rocha,63,365.248.907-10,1960-10-29,"RODOVIA DANILO COSTA, 17
ALTA TENSÃO 2ª SEÇÃO
93173-991 ALMEIDA DO OESTE / MS",piauí
Gabriel Nunes,55,940.813.762-04,1968-11-21,"VILA STEPHANY LIMA
VISTA DO SOL
43271006 COSTA / PA",amazonas
Rafael Correia,72,579.042.183-05,1952-01-03,"MORRO DE CARDOSO, 47
MARÇOLA
82157940 MELO / SE",piauí
Ana Lívia Barbosa,62,925.164.380-60,1961-05-30,"LAGOA SARAH AZEVEDO
MONSENHOR MESSIAS
68691-716 NUNES / CE",pará
Maitê Teixeira,90,694.815.037-39,1933-05-11,"LOTEAMENTO OLIVEIRA, 29
CAMPONESA 1ª SEÇÃO
35499227 DA ROSA DO OESTE / PE",rio grande do sul
Carlos Eduardo Santos,69,937.815.426-37,1955-03-29,"LARGO NASCIMENTO, 97
DELTA
00090-218 BARBOSA / PR",rondônia
Enzo Gabriel Araújo,70,349.682.017-96,1953-09-15,Endereço inválido,rio grande do sul
Breno Moreira,40,184.762.950-49,1984-03-23,"AEROPORTO DE DAS NEVES, 7
VILA SUMARÉ
05152-623 CORREIA DAS FLORES / AL",paraná
Julia Lopes,47,106.893.247-31,1977-02-13,"CONJUNTO DE CARDOSO, 5
VILA MINASLANDIA
42663-889 CASTRO / PR",roraima
André Lima,79,645.098.123-70,1944-11-06,"VIADUTO CARDOSO
BELMONTE
18780-365 MONTEIRO DO CAMPO / RO",alagoas
João Gabriel Barbosa,55,190.657.428-67,1969-02-23,"FAZENDA DE BARROS
BOA ESPERANÇA
74227859 DA COSTA / DF",amapá
,21,438.765.902-56,2002-04-13,"COLÔNIA MARIA VITÓRIA MOURA
AARÃO REIS
87984-967 ROCHA DE MINAS / GO",ceará
João Felipe Oliveira,42,830.679.415-00,1981-10-18,"AVENIDA DE CARDOSO
MADRE GERTRUDES
39614351 PORTO DO AMPARO / RN",distrito federal
Samuel Vieira,39,218.305.764-53,1984-07-02,"LAGOA LEANDRO CALDEIRA, 1
CHÁCARA LEONINA
51972-241 MENDES / MT",roraima
Lucca Ferreira,86,237.984.561-19,1938-03-30,"ESPLANADA DE DAS NEVES, 5
ANDIROBA
55857-900 MORAES DO AMPARO / MG",pernambuco
Samuel Castro,70,582.630.419-70,1954-02-04,"PRAIA ELOAH DA MATA, 95
CACHOEIRINHA
76620-467 MELO / AL",amazonas
Maria Vitória Teixeira,61,426.753.091-25,1962-12-16,"PRAIA CARVALHO, 7
VILA NOVA
08272068 COSTELA / PA",mato grosso do sul
Maria Fernanda Farias,22,907.143.856-20,2001-07-18,"ÁREA DE CORREIA, 44
CHÁCARA LEONINA
16210070 NUNES DO SUL / AM",rio grande do norte
Fernanda Sales,71,879.354.102-32,1953-02-05,"VALE LORENZO ALMEIDA, 80
VILA MANTIQUEIRA
39381-620 ALVES GRANDE / PE",rio grande do sul
Srta. Eduarda Nogueira,66,602.751.493-07,1958-01-13,"CHÁCARA ISADORA DAS NEVES
VILA DA AMIZADE
25121623 RIBEIRO / PB",rondônia
Maitê Ferreira,65,016.542.973-99,1958-04-24,"ESTAÇÃO CUNHA
CALAFATE
29389355 ROCHA DE GONÇALVES / PR",santa catarina
Catarina Pires,47,079.186.425-11,1977-01-28,"LOTEAMENTO DE LIMA, 1
VILA PRIMEIRO DE MAIO
16602-243 VIEIRA DA MATA / MT",mato grosso do sul
Manuela Da Rocha,74,839.561.470-57,1949-05-21,"ALAMEDA DE GONÇALVES, 79
SAUDADE
47129-674 DIAS / SP",paraíba
Nina Moura,46,604.173.592-25,1977-07-23,"QUADRA BERNARDO FERREIRA, 85
MARIETA 1ª SEÇÃO
48882-146 LIMA DE BARBOSA / PA",acre
Pedro Henrique Vieira,42,526.839.107-03,1981-08-14,"RODOVIA ALÍCIA DIAS, 58
VILA BOA VISTA
14088-768 CAMPOS DE PORTO / RR",paraná
Ana Clara Cunha,36,862.953.107-02,1987-04-09,"RUA DE CAVALCANTI, 8
VILA DA PAZ
01240048 SOUZA DA SERRA / AC",espírito santo
Pietra Santos,94,508.672.194-67,1929-06-14,"ESPLANADA DE SILVA, 1
VILA PUC
06033-930 ALVES DE LOPES / GO",santa catarina
Sr. Theo Da Conceição,25,284.517.309-14,1998-10-04,"VIADUTO DE FREITAS, 12
CENTRO
41526-260 DA CRUZ DOS DOURADOS / RR",são paulo
Vinicius Da Costa,65,023.916.457-16,1958-06-03,"RECANTO VALENTINA PINTO, 52
SATELITE
97787-119 MENDES DE BARBOSA / PA",são paulo
Pedro Henrique Cunha,58,519.304.678-93,1965-06-03,"PASSARELA DE SANTOS, 501
VILA ATILA DE PAIVA
81047029 OLIVEIRA / ES",pará
Davi Nogueira,74,564.829.170-11,1949-12-14,"MORRO LUCCA DA ROCHA, 40
BANDEIRANTES
05301527 NASCIMENTO / CE",tocantins
Luiz Fernando Da Paz,80,409.816.257-11,1943-04-30,"PRAÇA DE DA PAZ, 5
CONJUNTO JARDIM FILADÉLFIA
17691-504 CAVALCANTI / TO",mato grosso
Srta. Letícia Rocha,76,137.580.942-32,1947-12-01,"FAZENDA JOÃO FELIPE SOUZA, 78
NOVA PAMPULHA
08184872 CUNHA / SC",sergipe
João Nogueira,91,367.189.054-10,1933-02-22,"RODOVIA CAUÊ MONTEIRO, 50
HELIOPOLIS
61521177 MARTINS PAULISTA / CE",rio grande do norte
João Gabriel Cardoso,53,962.405.713-34,1970-07-13,"ÁREA DE FERREIRA, 20
VILA INDEPENDENCIA 2ª SEÇÃO
75695006 MELO / AC",minas gerais
Ryan Ribeiro,95,409.157.683-48,1928-12-18,"NÚCLEO ALMEIDA, 41
VILA SÃO PAULO
63386-457 NOVAES / PB",alagoas
Olivia Das Neves,23,314.927.586-55,2001-01-27,"LAGOA DE VIEIRA, 25
PAQUETÁ
66090560 PEREIRA DO CAMPO / AL",roraima
Sr. Luiz Miguel Pinto,55,942.816.507-76,1968-04-17,"CONJUNTO DA LUZ, 6
CHÁCARA LEONINA
95186702 SILVA / SC",são paulo
Elisa Teixeira,79,217.439.856-73,1944-05-07,"LADEIRA DE RODRIGUES, 58
VILA SÃO FRANCISCO
18153-240 DA MATA / ES",rondônia
Pedro Miguel Das Neves,59,523.976.081-03,1964-12-15,"JARDIM DE NASCIMENTO, 7
ENGENHO NOGUEIRA
72911-524 MOREIRA DO GALHO / RS",rio de janeiro
Maria Luiza Azevedo,76,064.253.879-47,1947-04-29,"QUADRA DE DA CRUZ, 42
VILA JARDIM MONTANHES
11782275 MENDES / PE",sergipe
Lorenzo Silva,47,642.397.018-13,1976-05-09,"CONJUNTO DE DA CRUZ, 1
MARIANO DE ABREU
82687-160 AZEVEDO DE SILVA / RJ",amazonas
Bianca Souza,97,673.295.108-40,1926-05-25,"COLÔNIA FRANCISCO CAMPOS, 7
VILA BETÂNIA
47223-561 DA COSTA DO GALHO / SC",bahia
Vitor Azevedo,70,643.978.150-20,1953-11-01,"LARGO DE BARBOSA
VILA NOVA GAMELEIRA 1ª SEÇÃO
37778-485 LIMA / AL",roraima
Enzo Gabriel Lima,57,187.604.952-94,1967-01-28,"AEROPORTO REZENDE
SANTO ANTÔNIO
22751419 MELO DE PORTO / SP",santa catarina
Eduarda Cunha,59,093.821.745-32,1964-09-17,"CAMPO DE PINTO, 72
SANTANA DO CAFEZAL
22684962 PORTO / PI",são paulo
Sra. Nicole Da Rocha,79,367.082.149-03,1944-10-10,"SETOR DE FERREIRA, 742
VILA ANTENA
59176-949 SANTOS / RR",amazonas
Ana Clara Santos,35,430.629.781-04,1988-04-15,"LADEIRA DE SALES, 15
VILA SÃO FRANCISCO
18447153 DAS NEVES / DF",paraíba
Enzo Gabriel Castro,96,694.253.078-65,1927-07-11,"LADEIRA DE TEIXEIRA
SÃO GERALDO
49881-890 RODRIGUES / PB",piauí
Nicole Ferreira,28,701.839.246-22,1996-02-11,"AEROPORTO DUARTE, 9
FUNCIONÁRIOS
49849669 SILVA DO SUL / ES",amazonas
Erick Sales,37,498.357.160-48,1986-09-13,"TRECHO DE MARTINS, 51
VILA SANTA MONICA 1ª SEÇÃO
87398-775 NOGUEIRA ALEGRE / PR",ceará
Anthony Barros,42,742.053.618-07,1981-10-24,"VILA ALEXIA VIANA, 87
JARDIM ALVORADA
22732-445 MOREIRA / PA",roraima
Renan Da Rocha,53,986.204.357-10,1971-03-08,"MORRO MELO, 463
GRAJAÚ
18981-145 DA CONCEIÇÃO / RO",tocantins
Marcela Santos,24,843.196.205-42,1999-12-23,"RESIDENCIAL DE ARAGÃO, 65
PLANALTO
81955-681 BARBOSA DO SUL / RN",goiás
Carolina Melo,39,970.358.142-05,1984-06-06,"VEREDA KAMILLY DA ROSA, 80
SÃO GERALDO
58360617 CASTRO / SC",amapá
Lavínia Rezende,44,946.321.085-70,1979-08-19,"MORRO DAVI LUIZ CORREIA, 38
VILA SÃO PAULO
55361364 FERREIRA DO GALHO / CE",rondônia
Srta. Julia Porto,75,502.731.649-61,1948-07-21,"DISTRITO ANA LAURA ARAGÃO, 90
JARDIM DO VALE
37050371 BARBOSA / MA",amazonas
Alana Cardoso,32,572.934.018-41,1991-04-14,"FAVELA GONÇALVES, 32
CÔNEGO PINHEIRO 1ª SEÇÃO
62579-612 DA COSTA ALEGRE / PR",rio grande do norte
Davi Lucas Cardoso,28,805.769.423-83,1995-11-15,"VIELA DA PAZ, 92
SERRA
95443238 CORREIA / MT",são paulo
Raul Santos,19,315.809.267-03,2004-09-11,"LOTEAMENTO EMANUELLY SALES, 135
LETICIA
56249-362 FERNANDES DE PEIXOTO / SP",alagoas
Igor Melo,46,261.730.548-17,1978-02-03,"FAVELA OLIVEIRA, 67
VILA COPACABANA
91636157 REZENDE / PR",tocantins
Joaquim Da Costa,76,274.039.856-56,1947-08-10,"CONDOMÍNIO CAMPOS, 38
DOM BOSCO
49718775 MELO DE MINAS / SP",amapá
João Felipe Farias,28,936.457.180-01,1996-01-11,"ESTAÇÃO MILENA SILVA, 549
BAIRRO DAS INDÚSTRIAS II
77860945 SILVA / PE",mato grosso
Manuela Almeida,75,647.251.980-30,1949-01-27,"FEIRA ALICE RAMOS, 3
SÃO JOÃO BATISTA
84904729 CAMPOS PAULISTA / PE",acre
Ryan Rocha,64,248.513.096-51,1959-10-25,"PASSARELA NOGUEIRA, 8
CASTELO
08422194 PIRES DE BARROS / PI",Desconhecido
Luna Da Conceição,96,935.416.278-91,1928-02-19,"CAMPO CAMPOS, 82
SÃO PEDRO
10003961 DA MATA / MA",mato grosso do sul
Manuela Silva,18,591.372.846-73,2005-09-01,"JARDIM BEATRIZ FARIAS, 11
ACABA MUNDO
79947-311 FARIAS / AL",bahia
Maria Vitória Das Neves,96,761.450.932-34,1928-01-05,"LAGOA CAVALCANTI
SAVASSI
46594-913 RIBEIRO DO NORTE / PE",minas gerais
Marcela Cunha,45,904.312.587-32,1978-06-17,"RUA SALES, 4
UNIVERSO
73420661 RODRIGUES DAS PEDRAS / SE",pernambuco
Bryan Souza,66,593.410.876-00,1958-03-05,"VIADUTO THALES COSTELA, 23
MALA E CUIA
14364-941 FARIAS / BA",maranhão
Kevin Cavalcanti,48,658.107.349-01,1976-01-29,"DISTRITO MARIA MORAES, 9
VILA PARIS
34507-199 CARDOSO / PR",sergipe
Sr. João Gabriel Martins,74,794.682.051-85,1949-06-14,"ESPLANADA DE MOURA, 95
BOA VIAGEM
73036474 PEREIRA DO OESTE / MA",mato grosso
Gabriela Da Mata,67,746.021.835-90,1956-06-16,"VIADUTO DE PEIXOTO, 16
INCONFIDÊNCIA
10719-934 DA CRUZ / CE",roraima
Srta. Júlia Fernandes,48,650.429.831-98,1975-11-19,"CONDOMÍNIO LEANDRO DA MOTA, 20
JATOBÁ
87409412 CAVALCANTI DA MATA / TO",distrito federal
Bárbara Silveira,40,386.019.472-04,1983-12-25,"TREVO CARVALHO
VILA PARAÍSO
27781889 VIEIRA DE CASTRO / RN",rio de janeiro
Vinicius Jesus,89,549.723.618-91,1934-12-08,"MORRO DE DUARTE
PINDORAMA
91232749 CUNHA / RS",minas gerais
Srta. Alice Pires,41,536.287.940-56,1982-07-08,"PRAIA ANA CAROLINA CORREIA, 11
SANTA SOFIA
12204735 ROCHA ALEGRE / RO",ceará
Lara Ferreira,72,698.517.304-75,1951-10-23,"RODOVIA DE FOGAÇA, 96
LAJEDO
51730-878 CARDOSO DO GALHO / RS",distrito federal
Felipe Freitas,98,863.410.759-01,1925-04-27,"RUA DUARTE, 85
VILA REAL 1ª SEÇÃO
03399083 COSTA DO SUL / AC",distrito federal
Maysa Pires,68,852.607.149-11,1955-10-08,"SÍTIO MARIANA ALMEIDA, 86
CARLOS PRATES
09579-357 CAVALCANTI / PR",bahia
Letícia Da Mata,47,308.742.169-31,1976-08-04,"AEROPORTO DA PAZ, 54
VILA SÃO DIMAS
26750-505 COSTA / PR",rio de janeiro
Luigi Cunha,92,623.457.109-34,1932-01-24,"PRAIA NASCIMENTO, 541
SENHOR DOS PASSOS
52251-024 CAVALCANTI DO CAMPO / PA",Desconhecido
Lucas Gabriel Gomes,20,120.476.398-40,2004-02-23,"DISTRITO DE CARDOSO, 24
FLAMENGO
42222117 JESUS DA PRATA / PI",pernambuco
Emanuelly Costela,46,152.490.783-97,1977-10-21,"VALE DE VIEIRA, 67
SUZANA
02233962 ALVES / PA",roraima
Calebe Nascimento,85,631.974.802-87,1939-02-25,"TRECHO BRENDA FERREIRA, 25
LAGOINHA
22650-581 DA LUZ / RJ",bahia
Juan Pires,76,139.648.572-46,1948-03-12,"AVENIDA DE SANTOS, 89
SÃO PEDRO
54483394 MORAES DA MATA / MS",goiás
Lívia Costa,81,582.793.041-50,1942-10-18,"LOTEAMENTO OLIVEIRA, 12
VILA DA ÁRIA
56184582 PIRES / AM",rio grande do norte
Davi Lucas Nunes,21,679.802.341-03,2003-01-07,"VILA VIANA, 68
NOVA CINTRA
01930898 PORTO / AM",piauí
Dr. Lucca Oliveira,89,806.759.431-75,1934-06-24,"PASSARELA JESUS, 34
VILA JARDIM MONTANHES
90668-539 AZEVEDO / PB",rio de janeiro
Eduardo Monteiro,61,037.529.468-65,1962-11-09,"VIADUTO CALDEIRA
VILA NOVA PARAÍSO
26625-312 OLIVEIRA DO GALHO / PE",ceará
Diogo Moraes,47,571.463.209-52,1977-01-12,"SÍTIO ARAGÃO, 73
AGUAS CLARAS
39221-650 BARROS / RJ",maranhão
Felipe Freitas,18,657.014.938-57,2005-12-08,"ÁREA GABRIELA NASCIMENTO
ERMELINDA
91481282 SILVEIRA / RR",goiás
Ryan Peixoto,27,830.126.594-98,1996-08-25,"ESTRADA AGATHA CORREIA, 79
XODO-MARIZE
53021-431 AZEVEDO ALEGRE / TO",pará
Otávio Pires,25,526.170.894-01,1998-07-16,"PÁTIO RIBEIRO, 33
VILA OESTE
74852-896 BARROS DA MATA / MS",rondônia
